class,k_shot,i_roc,p_pro,i_f1,p_roc,r_f1
candle,2,0.9116,0.914,0.0,0.0,0.0
capsules,2,0.7363,0.804,0.0,0.0,0.0
cashew,2,0.9306,0.9638,0.0,0.0,0.0
chewinggum,2,0.9656,0.9838,0.0,0.0,0.0
fryum,2,0.9354,0.9736,0.0,0.0,0.0
macaroni1,2,0.8793,0.8972,0.0,0.0,0.0
macaroni2,2,0.8147,0.8345,0.0,0.0,0.0
pcb1,2,0.8511,0.7879,0.0,0.0,0.0
pcb2,2,0.7479,0.7438,0.0,0.0,0.0
pcb3,2,0.8622,0.8812,0.0,0.0,0.0
pcb4,2,0.9446,0.8787,0.0,0.0,0.0
pipe_fryum,2,0.9888,0.9939,0.0,0.0,0.0
candle,4,0.9204,0.9254,0.0,0.0,0.0
capsules,4,0.7712,0.8482,0.0,0.0,0.0
cashew,4,0.9416,0.9724,0.0,0.0,0.0
chewinggum,4,0.98,0.9919,0.0,0.0,0.0
fryum,4,0.9356,0.9735,0.0,0.0,0.0
macaroni1,4,0.866,0.8812,0.0,0.0,0.0
macaroni2,4,0.8352,0.8714,0.0,0.0,0.0
pcb1,4,0.8833,0.8299,0.0,0.0,0.0
pcb2,4,0.7872,0.8035,0.0,0.0,0.0
pcb3,4,0.8683,0.8863,0.0,0.0,0.0
pcb4,4,0.9561,0.9217,0.0,0.0,0.0
pipe_fryum,4,0.987,0.993,0.0,0.0,0.0
candle,8,0.9408,0.9447,0.0,0.0,0.0
capsules,8,0.8333,0.9099,0.0,0.0,0.0
cashew,8,0.9098,0.9605,0.0,0.0,0.0
chewinggum,8,0.9688,0.9884,0.0,0.0,0.0
fryum,8,0.9484,0.9794,0.0,0.0,0.0
macaroni1,8,0.9154,0.9223,0.0,0.0,0.0
macaroni2,8,0.8118,0.8452,0.0,0.0,0.0
pcb1,8,0.8812,0.8385,0.0,0.0,0.0
pcb2,8,0.8244,0.836,0.0,0.0,0.0
pcb3,8,0.8659,0.8905,0.0,0.0,0.0
pcb4,8,0.9526,0.9143,0.0,0.0,0.0
pipe_fryum,8,0.993,0.9966,0.0,0.0,0.0
