category,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1,k_shot
visa-candle,84.82,89.91,0.0,77.82,6.39,0.0,0
visa-candle,83.93,90.82,0.0,78.6,8.12,0.0,1
visa-candle,84.77,91.04,0.0,78.11,8.41,0.0,5
visa-candle,84.85,91.11,0.0,78.57,8.46,0.0,10
visa-capsules,54.0,65.61,0.0,76.92,1.46,0.0,0
visa-capsules,63.0,82.96,0.0,77.04,6.68,0.0,1
visa-capsules,64.08,86.93,0.0,77.78,8.64,0.0,5
visa-capsules,66.58,87.66,0.0,77.87,10.48,0.0,10
visa-cashew,65.54,86.29,0.0,80.82,8.32,0.0,0
visa-cashew,71.6,91.81,0.0,81.63,12.36,0.0,1
visa-cashew,70.64,92.01,0.0,81.15,12.76,0.0,5
visa-cashew,69.9,92.18,0.0,81.55,13.2,0.0,10
visa-chewinggum,83.52,96.59,0.0,83.72,30.26,0.0,0
visa-chewinggum,84.14,97.28,0.0,83.41,43.97,0.0,1
visa-chewinggum,86.46,97.7,0.0,85.29,45.75,0.0,5
visa-chewinggum,86.16,97.78,0.0,85.05,46.27,0.0,10
visa-fryum,50.98,84.03,0.0,80.0,12.84,0.0,0
visa-fryum,61.5,90.78,0.0,81.17,19.27,0.0,1
visa-fryum,68.24,91.16,0.0,81.98,19.73,0.0,5
visa-fryum,70.2,91.38,0.0,81.9,20.16,0.0,10
visa-macaroni1,55.46,56.82,0.0,66.67,0.45,0.0,0
visa-macaroni1,55.65,91.8,0.0,67.11,9.14,0.0,1
visa-macaroni1,58.22,92.72,0.0,66.67,9.75,0.0,5
visa-macaroni1,59.6,92.64,0.0,67.11,9.64,0.0,10
visa-macaroni2,54.31,52.27,0.0,67.35,0.08,0.0,0
visa-macaroni2,54.62,83.44,0.0,67.35,0.54,0.0,1
visa-macaroni2,61.33,85.1,0.0,68.31,0.87,0.0,5
visa-macaroni2,61.18,84.94,0.0,68.82,0.85,0.0,10
visa-pcb1,59.34,39.29,0.0,68.03,0.93,0.0,0
visa-pcb1,78.12,83.82,0.0,78.84,3.44,0.0,1
visa-pcb1,79.61,88.2,0.0,79.31,6.17,0.0,5
visa-pcb1,77.84,89.21,0.0,78.18,7.21,0.0,10
visa-pcb2,62.62,60.83,0.0,68.94,0.61,0.0,0
visa-pcb2,54.76,86.53,0.0,67.11,3.3,0.0,1
visa-pcb2,60.09,87.05,0.0,67.39,3.82,0.0,5
visa-pcb2,59.92,87.65,0.0,67.34,4.07,0.0,10
visa-pcb3,57.0,68.17,0.0,67.34,1.19,0.0,0
visa-pcb3,51.34,85.97,0.0,66.67,2.6,0.0,1
visa-pcb3,50.82,88.11,0.0,66.67,3.07,0.0,5
visa-pcb3,51.18,88.81,0.0,66.67,3.47,0.0,10
visa-pcb4,81.62,92.47,0.0,75.74,21.95,0.0,0
visa-pcb4,80.12,94.52,0.0,75.8,20.55,0.0,1
visa-pcb4,87.41,95.29,0.0,81.11,24.13,0.0,5
visa-pcb4,88.86,95.61,0.0,82.13,25.5,0.0,10
visa-pipe_fryum,83.48,93.96,0.0,84.21,22.76,0.0,0
visa-pipe_fryum,93.48,98.02,0.0,90.91,45.01,0.0,1
visa-pipe_fryum,93.76,98.27,0.0,91.35,46.96,0.0,5
visa-pipe_fryum,93.6,98.34,0.0,90.57,47.69,0.0,10
