,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
visa-candle,84.77,91.04,0.00,78.11,8.41,0.00
visa-capsules,64.08,86.93,0.00,77.78,8.64,0.00
visa-cashew,70.64,92.01,0.00,81.15,12.76,0.00
visa-chewinggum,86.46,97.70,0.00,85.29,45.75,0.00
visa-fryum,68.24,91.16,0.00,81.98,19.73,0.00
visa-macaroni1,58.22,92.72,0.00,66.67,9.75,0.00
visa-macaroni2,61.33,85.10,0.00,68.31,0.87,0.00
visa-pcb1,79.61,88.20,0.00,79.31,6.17,0.00
visa-pcb2,60.09,87.05,0.00,67.39,3.82,0.00
visa-pcb3,50.82,88.11,0.00,66.67,3.07,0.00
visa-pcb4,87.41,95.29,0.00,81.11,24.13,0.00
visa-pipe_fryum,93.76,98.27,0.00,91.35,46.96,0.00
