,i_roc,p_roc,p_pro,i_f1,p_f1,r_f1
visa-candle,83.93,90.82,0.00,78.60,8.12,0.00
visa-capsules,63.00,82.96,0.00,77.04,6.68,0.00
visa-cashew,71.60,91.81,0.00,81.63,12.36,0.00
visa-chewinggum,84.14,97.28,0.00,83.41,43.97,0.00
visa-fryum,61.50,90.78,0.00,81.17,19.27,0.00
visa-macaroni1,55.65,91.80,0.00,67.11,9.14,0.00
visa-macaroni2,54.62,83.44,0.00,67.35,0.54,0.00
visa-pcb1,78.12,83.82,0.00,78.84,3.44,0.00
visa-pcb2,54.76,86.53,0.00,67.11,3.30,0.00
visa-pcb3,51.34,85.97,0.00,66.67,2.60,0.00
visa-pcb4,80.12,94.52,0.00,75.80,20.55,0.00
visa-pipe_fryum,93.48,98.02,0.00,90.91,45.01,0.00
